utterance,intent,style
টাখা দিতে chai,send_money_bkash,noisy_augmented
wayfi connect korbo ki kore,turn_on_wifi,noisy_augmented
wattsap e image dibo,send_photo_whatsapp,noisy_augmented
লম্বর সেভ করবো কীভাবে,save_contact,noisy_augmented
অ্যাপ যোগ করো,download_app,command
টাখা send korbo kemon kore,send_money_bkash,banglish
নতুন অ্যাপ চাই,download_app,mixed
কল korte chai messenger,call_messenger,banglish
ছবি কিভাবে pathai,send_photo_whatsapp,noisy
বিকাশ recharge কেমনে hoy,recharge_mobile_bkash,noisy
ডেটা অন করো,turn_on_mobile_data,command
ফাইল dibo wattsap e,send_file_whatsapp,noisy_augmented
নম্বর কোথায় আছে,find_contact,question
messenger কল কেমনে jay,call_messenger,noisy
ছবি send korte chai uatsap e,send_photo_whatsapp,noisy_augmented
ফোনে নাম্বার খুঁজবো কীভাবে,find_contact,question
টাকা পাঠাই কীভাবে,send_money_bkash,question
ওয়াইফাই সেটিং দেখাও,turn_on_wifi,command
sim e টাকা nai richarge koro,recharge_mobile_bkash,noisy_augmented
টাকা pathaite hobe বিকাশ,send_money_bkash,mixed
contect find korbo ki kore,find_contact,noisy_augmented
naam diye nambar save,save_contact,noisy_augmented
contect e noya নাম্বার,save_contact,noisy_augmented
hoyatsap e ফাইল dibo,send_file_whatsapp,noisy
messenger e kotha bolbo কেমনে,call_messenger,noisy_augmented
messenjar video কল korbo,call_messenger,noisy_augmented
add নাম্বার phone e,save_contact,banglish
contact add korbo ki kore,save_contact,banglish
ছবি কেমনে ফাটাবো,send_photo_whatsapp,noisy_augmented
hoyatsap e ছবি দিতে chai,send_photo_whatsapp,noisy_augmented
বিকাশ টাখা send কিরাম kori,send_money_bkash,noisy_augmented
picture ফাটাবো,send_photo_whatsapp,noisy_augmented
টেহা দিতে chai বিকাশ,send_money_bkash,noisy_augmented
প্লে স্টোর থেকে অ্যাপ নামাবো,download_app,standard
নম্বর ফোনে রাখবো,save_contact,standard
sim e টাকা dibo বিকাশ,recharge_mobile_bkash,banglish
facebook messenger কল,call_messenger,broken
net nai kothay,turn_on_mobile_data,broken
অ্যাপ instol koro,download_app,noisy_augmented
hoyatsap e ছবি দিতে chai,send_photo_whatsapp,banglish
contact save kori kemon kore,save_contact,noisy_augmented
বিকাশ diye balance dibo,recharge_mobile_bkash,noisy_augmented
waiphy কিরাম on kori,turn_on_wifi,noisy_augmented
মেসেঞ্জার কল করো,call_messenger,command
recharge বিকাশ টেকা,recharge_mobile_bkash,noisy
karo lombor khuje দাও,find_contact,noisy_augmented
lambar save কিরাম,save_contact,noisy
ফাইল ফাটাবো hoyatsap e কেমনে,send_file_whatsapp,noisy_augmented
instol কেমনে,download_app,noisy_augmented
wayfi connect hocche na,turn_on_wifi,noisy_augmented
হোয়াটসঅ্যাপ e ডকুমেন্ট কেমনে jai,send_file_whatsapp,noisy_augmented
ছবি send korte chai হোয়াটসঅ্যাপ e,send_photo_whatsapp,noisy_augmented
messenger ring কেমনে,call_messenger,noisy
lombor list,find_contact,broken
নম্বর খুঁজতে চাই,find_contact,standard
ফাইল share কেমনে hoy,send_file_whatsapp,noisy
পিডিএফ ta pathao হোয়াটসঅ্যাপ e,send_file_whatsapp,banglish
টেহা দাও বিকাশ diye,send_money_bkash,noisy_augmented
phonebook e contect khuji,find_contact,noisy_augmented
facebook messenjar কল,call_messenger,noisy_augmented
এই ছবি দেখাও হোয়াটসঅ্যাপে,send_photo_whatsapp,mixed
contact list dekhai,find_contact,banglish
noya contact banabo,save_contact,banglish
বিকাশ payment korbo,send_money_bkash,noisy_augmented
save contect kori ki kore,save_contact,noisy_augmented
messanger e kotha bolte chai,call_messenger,noisy_augmented
sim recharge বিকাশ খেমনে,recharge_mobile_bkash,noisy_augmented
টেহা dibo bicas te,send_money_bkash,noisy_augmented
ডাটা খেমনে dibo,turn_on_mobile_data,noisy
play store অ্যাপ কিরাম namabo,download_app,noisy
lambar khujte parchhi na,find_contact,noisy
বিকাশ দিয়ে টাকা পাঠাতে চাই,send_money_bkash,standard
নম্বর সেভ করবো কীভাবে,save_contact,standard
numbor কেমনে dekhbo,find_contact,noisy_augmented
wayfi কেমনে on kori,turn_on_wifi,noisy_augmented
ফটো ta share koro,send_photo_whatsapp,banglish
lombor add korbo,save_contact,noisy_augmented
অ্যাপ ইনস্টল কিভাবে hobe,download_app,banglish
dounload অ্যাপ কেমনে,download_app,noisy_augmented
নাম্বার save niyom,save_contact,banglish
bicas e sim recharge কেমনে,recharge_mobile_bkash,noisy_augmented
sim e টেকা nai recharge koro,recharge_mobile_bkash,noisy_augmented
কন্টাক্ট খুঁজে পাচ্ছি না,find_contact,standard
bicas payment কেমনে,send_money_bkash,noisy_augmented
phone e lombor store,save_contact,noisy_augmented
facebook messanger কল,call_messenger,noisy_augmented
কন্টাক্ট লিস্ট দেখাও,find_contact,command
মেসেঞ্জারে কথা বলবো,call_messenger,standard
বিকাশ e টেহা পাঠাবো কেমনে,send_money_bkash,noisy
bicas theke টাখা দাও,send_money_bkash,noisy_augmented
wayfi,turn_on_wifi,noisy_augmented
বিকাশ money transfer,send_money_bkash,noisy_augmented
বিকাশ diye টাখা recharge,recharge_mobile_bkash,noisy
হোয়াটসঅ্যাপ ফাইল send কিরাম,send_file_whatsapp,noisy
কাগজ পাঠানো দেখাও,send_file_whatsapp,command
অ্যাপ nামাতে পারছি না,download_app,broken
অ্যাপ dounload hochhe na,download_app,noisy_augmented
বিকাশে রিচার্জ দিতে চাই,recharge_mobile_bkash,standard
ফাইল খেমনে pathai,send_file_whatsapp,noisy_augmented
karo lambar khuje দাও,find_contact,noisy_augmented
messenger কল jacche na,call_messenger,banglish
messenjar e কল korbo,call_messenger,noisy_augmented
কল korbo messenger e কিভাবে,call_messenger,banglish
numbor কিভাবে rakhi,save_contact,noisy
ফাইল ta fatao,send_file_whatsapp,noisy_augmented
waiphy switch on kori ki kore,turn_on_wifi,noisy_augmented
বিকাশ e recharge ফাটাবো কেমনে,recharge_mobile_bkash,noisy_augmented
পিডিএফ পাঠাবো wattsap e,send_file_whatsapp,noisy_augmented
save contact kori ki kore,save_contact,banglish
ওয়াইফাই connect hocche na,turn_on_wifi,banglish
foto cend কেমনে hoy,send_photo_whatsapp,noisy_augmented
ফাদামু ফাইল uatsap,send_file_whatsapp,noisy_augmented
waiphy switch,turn_on_wifi,noisy_augmented
অ্যাপ ডাউনলোড hocche na,download_app,banglish
google play e অ্যাপ,download_app,banglish
lombor list dekhao,find_contact,noisy_augmented
messanger কল hocche na,call_messenger,noisy_augmented
lambar save hocche na,save_contact,noisy_augmented
contect save hochhe na,save_contact,noisy_augmented
kotha bolbo messenger diye,call_messenger,banglish
হোয়াটসঅ্যাপ e ফটো send korbo খেমনে,send_photo_whatsapp,noisy_augmented
waiphy kothay,turn_on_wifi,noisy_augmented
ছবি পাঠাও তো,send_photo_whatsapp,command
টাকা ভরবো মোবাইলে,recharge_mobile_bkash,standard
বিকাশ e send hobe,send_money_bkash,noisy_augmented
lombor save niyom,save_contact,noisy_augmented
ফাইল dibo hoyatsap e,send_file_whatsapp,noisy_augmented
waiphy কেমনে connect hoy,turn_on_wifi,noisy_augmented
messenger e ring dibo,call_messenger,banglish
বিকাশ richarge কিরাম,recharge_mobile_bkash,noisy_augmented
facebook কল korbo,call_messenger,banglish
নম্বর কীভাবে রাখবো মনে থাকে না,save_contact,broken
বিকাশ mobile recharge কেমনে,recharge_mobile_bkash,noisy_augmented
অ্যাপ dounload hocche na,download_app,noisy_augmented
বিকাশ teyha পাঠা,send_money_bkash,noisy_augmented
mobile e টেহা dibo বিকাশ diye,recharge_mobile_bkash,noisy_augmented
ডেটা অন দেখাও,turn_on_mobile_data,command
kagoz dibo hoyatsap,send_file_whatsapp,noisy
google play theke অ্যাপ,download_app,banglish
ইন্টারনেট on koro,turn_on_mobile_data,banglish
