utterance,intent
বিকাস দিয়ে টেকা পাডাতে চামু,send_money_bkash
মেসেন্জার রিং দাও,call_messenger
ওয়াইফাই নেই,turn_on_wifi
বিকাসে রিচাজ করার বাটন কোথায়,recharge_mobile_bkash
হোয়াটসঅ্যাপ কাগজটা পাঠাও,send_file_whatsapp
বিকাসে টাকা পাঠাবো কিরাম জানো,send_money_bkash
ফটো কোথায় ফাটামু,send_photo_whatsapp
ইন্টারনেট কেন কাজ করছে না,turn_on_mobile_data
ডাটা চালু করো,turn_on_mobile_data
প্লে স্টোর কিরাম খুলি,download_app
নামবার add করো ফোন এ,save_contact
প্লে স্টোর এ এপ নেই,download_app
মেসেনজারে ফোন দিতাম চামু,call_messenger
মেসেনজার কল,call_messenger
হোয়াটসঅ্যাপ ফডু পাঠানো কি সম্ভব,send_photo_whatsapp
ওয়াইফাই কেমবে চালু,turn_on_wifi
কনটাক কেমবে বের করি,find_contact
বিকাসে রিসার্জ হয় খেমনে,recharge_mobile_bkash
ছবি কেমবে শেয়ার করে,send_photo_whatsapp
মেসেঞ্জার দিয়ে কথা বলবো,call_messenger
বিকাশ দিয়ে রিসার্জ কেমবে করে,recharge_mobile_bkash
ওয়াইফাই চালু করবো কীভাবে,turn_on_wifi
কল করো মেসেনজারে,call_messenger
পটো খেমতে শেয়ার করে,send_photo_whatsapp
মেসেঞ্জারে কল দিতে চাই,recharge_mobile_bkash
ফোনে ডাটা ,turn_on_mobile_data
কন্টাক্ট খেমনে খুঁজি,find_contact
বিকাসে টেকা পাটামু,send_money_bkash
লম্বর কোথায় থাকে ফোনে,find_contact
হোয়াটসঅ্যাপ ডকুমেন্ট শেয়ার করবো কীভাবে,send_file_whatsapp
ফটো পাঠাও হোয়াটসঅ্যাপে,send_photo_whatsapp
মেসেঞ্জারে কল দিতে চাই,call_messenger
কীভাবে অ্যাপ ইনস্টল করে,download_app
বিকাশে টাকা দিতে চাই,send_money_bkash
কাগজ কিরাম পাঠাই,send_file_whatsapp
মেসেঞ্জারে কেমনে ফোন করে,call_messenger
ডাউনলোট হইতেছে না কেন,download_app
ফোনে নেট,turn_on_mobile_data
কন্টাক্ট খুঁজতে চামু,find_contact
কারো নামবার পাচ্ছি না,find_contact
ডকুমেন্ট পাটামু হোয়াটসঅ্যাপে,send_file_whatsapp
ডকুমেন্ট ফাডামু ওয়াটসঅ্যাপে,send_file_whatsapp
নতুন নাম্বর রাখতে চাই,save_contact
রিসার্জ কোথায় দেমু,recharge_mobile_bkash
ফোনে নাম্বার রাখবো,save_contact
মোবাইলে নেট চাই,turn_on_mobile_data
হোয়াটসঅ্যাপ ছবি পাঠাও,send_photo_whatsapp
নতুন নামবার ফোনে রাখো,save_contact
টেকা পাঠাবো বিকাসে,send_money_bkash
ওয়াটসঅ্যাপে ছবি দেবো কীভাবে,send_photo_whatsapp
ডকুমেন্ট খেমনে ফাটাবো,send_file_whatsapp
টাকা গেলো না কেন বিকাশে,send_money_bkash
বিকাশ টেহা পাঠানো,send_money_bkash
কনটাক বানাও,save_contact
ফোনে নতুন অ্যাপ দরকার,download_app
হোয়াটসঅ্যাপে কাগজ দেওয়ার নিয়ম,send_file_whatsapp
বিগাসে টাকা পাঠানো হয় কীভাবে,send_money_bkash
হোয়াটসঅ্যাপ এ ছবি পাঠাতে চাই,send_photo_whatsapp
নতুন লম্বর যোগ করো,save_contact
নতুন নাম্বার রাখতে চামু,save_contact
বিকাশ দিয়ে রিচাজ কীভাবে করে,recharge_mobile_bkash
ওয়াইফাই অন করতে চামু,turn_on_wifi
কন্টাগ লিস্ট দেখাও,find_contact
ওয়াইফাই কানেক্ট করো,turn_on_wifi
ছবি দিতে চামু কাউকে,send_photo_whatsapp
নাম্বার সেভ করতে লাগে,save_contact
অ্যাপ নামানো শেখাও,download_app
টেহা ফাটাও বিকাশ,send_money_bkash
কোথায় পামু নতুন অ্যাপ,download_app
খেমতে বিকাশে টাকা দেওয়া যায়,send_money_bkash
বিকাশে টেকা পাটামু,send_money_bkash
হোয়াটসঅ্যাপে পটো কোথায় যায়,send_photo_whatsapp
ওয়াটসঅ্যাপ ফটো কোথায় পাঠাবো,send_photo_whatsapp
কোথায় সেভ করবো লম্বর,save_contact
ওয়াটসঅ্যাপে কাগজ পাঠাবো,send_file_whatsapp
ওয়াটসঅ্যাপ এ ফটো ফডাতে চাই,send_photo_whatsapp
মেসেঞ্জার এ কল হইছে না,call_messenger
খেমনে অ্যাপ ইনস্টল করে,download_app
কেমবে অ্যাপ ইনস্টল করে,download_app
ভিডিও কল করমু মেসেন্জারে খেমনে,call_messenger
ফোডো খেমনে দেওয়া যায়,send_photo_whatsapp
ফাইল কিরাম দেওয়া যায়,send_file_whatsapp
বিকাশে টাকা পাঠানো হয় কীভাবে,send_money_bkash
সিম এ রিচাজ দিমু বিকাশ থেকে,recharge_mobile_bkash
বিগাসে কেমবে টেহা পাঠায়,send_money_bkash
পটোটা দিয়ে দাও ওয়াটসঅ্যাপ,send_photo_whatsapp
ওয়াইফাই এ কানেক্ট করবো কেমনে,turn_on_wifi
ওয়াটসঅ্যাপ এ পটো পাঠাবো,send_photo_whatsapp
অ্যাপ ইনস্টল করতে চাই,download_app
মেসেঞ্জারে ফোন দিতাম চামু,call_messenger
বিকাশ দিয়ে টাহা পাঠানো যায় কেমনে,send_money_bkash
এই ফডু কীভাবে পাঠাবো বুঝছি না,send_photo_whatsapp
অ্যাপ ইনস্টল করতে চামু,download_app
মেসেঞ্জার কল খেমতে হয়,call_messenger
বিগাসে টেখা দিতাম চাই,send_money_bkash
নাম্বর কোথায় গেলো,find_contact
অ্যাপ ডাউনলোড হইছে না,download_app
কেমবে বিকাসে রিসার্জ দেওয়া যায়,recharge_mobile_bkash
নাম্বার পাচ্ছি না কেন,find_contact
ইমেজ পাঠাবো হোয়াটসঅ্যাপ এ,send_photo_whatsapp
ছবি সেন্ড করো,send_photo_whatsapp
মেসেঞ্জারে কথা বলতে চাই,call_messenger
মেসেনজারে ফোন করার উপায় কী,call_messenger
কন্টাক্ট খুঁজতে চামু,find_contact
টাকা কীভাবে পাঠাই বিকাশে,send_money_bkash
ওয়াইফাই কানেক্ট করার নিয়ম দেখাও,turn_on_wifi
ফডু দাও ওয়াটসঅ্যাপ,send_photo_whatsapp
মেসেনজার কল বাটন কোথায়,call_messenger
টেখা পাঠাও বিকাশ,send_money_bkash
ফাইল অ্যাটাচ করো,send_file_whatsapp
টাকা ট্রান্সফার করবো বিকাশ এ,send_money_bkash
ফোডো শেয়ার করো,send_photo_whatsapp
মেসেনজার কল খেমতে হয়,call_messenger
ছবি কীভাবে দেওয়া যায়,send_photo_whatsapp
কন্টাক্ট লিস্ট দেখাও,find_contact
নতুন কন্টাক্ট বানাও,save_contact
পিডিএফ  ফাডামু ওয়াটসঅ্যাপ   এ,send_file_whatsapp
টাকা ফাটাও,send_money_bkash
ফোনে অ্যাপ কোথায় পাবো,download_app
কল দাও মেসেঞ্জারে,call_messenger
মেসেঞ্জার এ অডিও কল খেমতে,call_messenger
ওয়াইফাই নেই কেন,turn_on_wifi
সেভ করো,save_contact
কল যাইতেছে না মেসেনজারে,call_messenger
ফটো সেন্ড হরবো হোয়াটসঅ্যাপ এ,send_photo_whatsapp
কন্টাগ খেমনে খুঁজি,find_contact
ওয়াটসঅ্যাপ এ ইমেজ পাঠাতে চামু,send_photo_whatsapp
অ্যাপ ডাউনলোড হরবো কেমবে,download_app
ওয়াইফাই কীভাবে ধরা যায়,turn_on_wifi
বিকাশ এ টাকা পাঠাবো,send_money_bkash
লম্বর সেভ করো,save_contact
মোবাইল এ ডাটা নেই কেন,turn_on_mobile_data
অ্যাপ ডাউনলোড করবো খেমনে,download_app
বিকাসে টাকা পাঠাবো কীভাবে জানো,send_money_bkash
মোবাইল ডেটা নেই কেন,turn_on_mobile_data
কার নাম্বর কোথায়,find_contact
ওয়াইফাই অন করতে চাই,turn_on_wifi
ফটো কোথায় ফাডামু ওয়াটসঅ্যাপ,send_photo_whatsapp
বিকাশ দিয়ে টাকা ফাটাতে চামু,send_money_bkash
কন্টাক্ট কেমনে খুঁজি,find_contact
লম্বর কোথায় রাখি,save_contact
বিকাশ দিয়ে টেহা পাঠানো দেখাও,send_money_bkash
ডেটা খেমতে চালু করি,turn_on_mobile_data
ছবি অ্যাপ,send_photo_whatsapp
বিকাশ দিয়ে টাকা পাঠানো যায় কেমনে,send_money_bkash
নেট চালু হলো না,turn_on_mobile_data
মোবাইলে টাকা ভরতে চাই বিকাশ দিয়ে,recharge_mobile_bkash
অ্যাপ এ ফটো ফাটাতে চামু,send_photo_whatsapp
বিকাশ দিয়ে টাকা যাইছে না,send_money_bkash
বিকাশে রিচার্জ করার বাটন কোথায়,recharge_mobile_bkash
চবি পাঠাতে পারছি না,send_photo_whatsapp
নতুন লম্বর ফোনে রাখো,save_contact
ফাইল পাঠানোর নিয়ম ওয়াটসঅ্যাপ এ,send_file_whatsapp
অ্যাপ কোথায় পাইমু,download_app
নামবার কই,find_contact
ফোডো যাইতেছে না কেন,send_photo_whatsapp
এই ছবিটা হোয়াটসঅ্যাপে পাঠাও,send_photo_whatsapp
মেসেনজারে এ ভিডিও কল করতে লাগে,call_messenger
ডেটা  চালু  করবো,turn_on_mobile_data
কার লামবার কোথায়,find_contact
খেমনে পটো পাঠাই হোয়াটসঅ্যাপে,send_photo_whatsapp
ওয়াটসঅ্যাপ   এ ফটো   ফাটাতে লাগে,send_photo_whatsapp
মোবাইল ডেটা চালু করার নিয়ম,turn_on_mobile_data
ফটো   সেন্ড  করবো কিরাম,send_photo_whatsapp
ফাইল শেয়ার করবো হোয়াটসঅ্যাপে,send_file_whatsapp
বিকাশ থেকে টেহা পাটামু,send_money_bkash
নাম দিয়ে নাম্বার খুঁজবো,find_contact
ওয়াইফাই খেমনে পাওয়া যায়,turn_on_wifi
বিকাশ থেকে মোবাইল চার্জ দিমু,recharge_mobile_bkash
চবি কীভাবে পাঠাই,send_photo_whatsapp
সিম এ নেট নেই কেমবে দেমু,turn_on_mobile_data
লম্বর খুঁজে পাচ্ছি না,find_contact
ফোনে কারো লামবার খুঁজবো,find_contact
বিকাশে টাকা পাঠাবো,send_money_bkash
মোবাইল টাকা শেষ রিচার্জ দাও,recharge_mobile_bkash
ফাইল খেমনে দেওয়া যায়,send_file_whatsapp
টেখা ট্রান্সফার   হরবো বিকাশ   এ,send_money_bkash
এই ছবিটা হোয়াটসঅ্যাপে ফাটাও,send_photo_whatsapp
লম্বর সেভ করমু কীভাবে,save_contact
নেট কাজ করছে না,turn_on_mobile_data
বিকাশ দিয়ে রিসার্জ দেখাও,recharge_mobile_bkash
মেসেনজার কল কীভাবে হয়,call_messenger
বিকাশ   সেন্ড  মানি   কিরাম,send_money_bkash
বিকাশ রিচার্জ,recharge_mobile_bkash
নেট চালু করো,turn_on_mobile_data
সবি পাঠাতে পারছি না,send_photo_whatsapp
লামবার কোথায় গেলো,find_contact
বিকাশে টেকা পাঠানোর বাটন কোথায়,send_money_bkash
কন্টাক্ট   ফাইন্‌ড্‌   করতে পারছি না,find_contact
ফডু ফাটানোর নিয়ম কী,send_photo_whatsapp
বিকাশ   এ টেহা দিতাম চাই,send_money_bkash
