utterance,intent,style
takha dite chai,send_money_bkash,noisy_augmented
wayfi connect korbo ki kore,turn_on_wifi,noisy_augmented
wattsap e image dibo,send_photo_whatsapp,noisy_augmented
লম্বর সেভ করবো কীভাবে,save_contact,noisy_augmented
অ্যাপ যোগ করো,download_app,command
takha send korbo kemon kore,send_money_bkash,banglish
নতুন অ্যাপ চাই,download_app,mixed
call korte chai messenger,call_messenger,banglish
sobi kivabe pathai,send_photo_whatsapp,noisy
bkash recharge kemne hoy,recharge_mobile_bkash,noisy
ডেটা অন করো,turn_on_mobile_data,command
file dibo wattsap e,send_file_whatsapp,noisy_augmented
নম্বর কোথায় আছে,find_contact,question
messenger call kemne jay,call_messenger,noisy
chobi send korte chai uatsap e,send_photo_whatsapp,noisy_augmented
ফোনে নাম্বার খুঁজবো কীভাবে,find_contact,question
টাকা পাঠাই কীভাবে,send_money_bkash,question
ওয়াইফাই সেটিং দেখাও,turn_on_wifi,command
sim e taka nai richarge koro,recharge_mobile_bkash,noisy_augmented
taka pathaite hobe bkash,send_money_bkash,mixed
contect find korbo ki kore,find_contact,noisy_augmented
naam diye nambar save,save_contact,noisy_augmented
contect e noya number,save_contact,noisy_augmented
hoyatsap e file dibo,send_file_whatsapp,noisy
messenger e kotha bolbo kemne,call_messenger,noisy_augmented
messenjar video call korbo,call_messenger,noisy_augmented
add number phone e,save_contact,banglish
contact add korbo ki kore,save_contact,banglish
fodu kemne fatabo,send_photo_whatsapp,noisy_augmented
hoyatsap e sobi dite chai,send_photo_whatsapp,noisy_augmented
bkash takha send kiram kori,send_money_bkash,noisy_augmented
picture fatabo,send_photo_whatsapp,noisy_augmented
teha dite chai bkash,send_money_bkash,noisy_augmented
প্লে স্টোর থেকে অ্যাপ নামাবো,download_app,standard
নম্বর ফোনে রাখবো,save_contact,standard
sim e taka dibo bkash,recharge_mobile_bkash,banglish
facebook messenger call,call_messenger,broken
net nai kothay,turn_on_mobile_data,broken
app instol koro,download_app,noisy_augmented
hoyatsap e chobi dite chai,send_photo_whatsapp,banglish
contact save kori kemon kore,save_contact,noisy_augmented
bikash diye balance dibo,recharge_mobile_bkash,noisy_augmented
waiphy kiram on kori,turn_on_wifi,noisy_augmented
মেসেঞ্জার কল করো,call_messenger,command
recharge bkash teka,recharge_mobile_bkash,noisy
karo lombor khuje dao,find_contact,noisy_augmented
lambar save kiram,save_contact,noisy
file fatabo hoyatsap e kemne,send_file_whatsapp,noisy_augmented
instol kemne,download_app,noisy_augmented
wayfi connect hocche na,turn_on_wifi,noisy_augmented
whatsapp e document kemne jai,send_file_whatsapp,noisy_augmented
sobi send korte chai whatsapp e,send_photo_whatsapp,noisy_augmented
messenger ring kemne,call_messenger,noisy
lombor list,find_contact,broken
নম্বর খুঁজতে চাই,find_contact,standard
file share kemne hoy,send_file_whatsapp,noisy
pdf ta pathao whatsapp e,send_file_whatsapp,banglish
teha dao bkash diye,send_money_bkash,noisy_augmented
phonebook e contect khuji,find_contact,noisy_augmented
facebook messenjar call,call_messenger,noisy_augmented
এই ছবি দেখাও হোয়াটসঅ্যাপে,send_photo_whatsapp,mixed
contact list dekhai,find_contact,banglish
noya contact banabo,save_contact,banglish
bikash payment korbo,send_money_bkash,noisy_augmented
save contect kori ki kore,save_contact,noisy_augmented
messanger e kotha bolte chai,call_messenger,noisy_augmented
sim recharge bkash khemne,recharge_mobile_bkash,noisy_augmented
teha dibo bicas te,send_money_bkash,noisy_augmented
data khemne dibo,turn_on_mobile_data,noisy
play store app kiram namabo,download_app,noisy
lambar khujte parchhi na,find_contact,noisy
বিকাশ দিয়ে টাকা পাঠাতে চাই,send_money_bkash,standard
নম্বর সেভ করবো কীভাবে,save_contact,standard
numbor kemne dekhbo,find_contact,noisy_augmented
wayfi kemne on kori,turn_on_wifi,noisy_augmented
photo ta share koro,send_photo_whatsapp,banglish
lombor add korbo,save_contact,noisy_augmented
app install kivabe hobe,download_app,banglish
dounload app kemne,download_app,noisy_augmented
number save niyom,save_contact,banglish
bicas e sim recharge kemne,recharge_mobile_bkash,noisy_augmented
sim e teka nai recharge koro,recharge_mobile_bkash,noisy_augmented
কন্টাক্ট খুঁজে পাচ্ছি না,find_contact,standard
bicas payment kemne,send_money_bkash,noisy_augmented
phone e lombor store,save_contact,noisy_augmented
facebook messanger call,call_messenger,noisy_augmented
কন্টাক্ট লিস্ট দেখাও,find_contact,command
মেসেঞ্জারে কথা বলবো,call_messenger,standard
bkash e teha pathabo kemne,send_money_bkash,noisy
bicas theke takha dao,send_money_bkash,noisy_augmented
wayfi,turn_on_wifi,noisy_augmented
bikash money transfer,send_money_bkash,noisy_augmented
bkash diye takha recharge,recharge_mobile_bkash,noisy
whatsapp file send kiram,send_file_whatsapp,noisy
কাগজ পাঠানো দেখাও,send_file_whatsapp,command
app nামাতে পারছি না,download_app,broken
app dounload hochhe na,download_app,noisy_augmented
বিকাশে রিচার্জ দিতে চাই,recharge_mobile_bkash,standard
file khemne pathai,send_file_whatsapp,noisy_augmented
karo lambar khuje dao,find_contact,noisy_augmented
messenger call jacche na,call_messenger,banglish
messenjar e call korbo,call_messenger,noisy_augmented
call korbo messenger e kivabe,call_messenger,banglish
numbor kivabe rakhi,save_contact,noisy
file ta fatao,send_file_whatsapp,noisy_augmented
waiphy switch on kori ki kore,turn_on_wifi,noisy_augmented
bikash e recharge fatabo kemne,recharge_mobile_bkash,noisy_augmented
pdf pathabo wattsap e,send_file_whatsapp,noisy_augmented
save contact kori ki kore,save_contact,banglish
wifi connect hocche na,turn_on_wifi,banglish
foto cend kemne hoy,send_photo_whatsapp,noisy_augmented
fadamu file uatsap,send_file_whatsapp,noisy_augmented
waiphy switch,turn_on_wifi,noisy_augmented
app download hocche na,download_app,banglish
google play e app,download_app,banglish
lombor list dekhao,find_contact,noisy_augmented
messanger call hocche na,call_messenger,noisy_augmented
lambar save hocche na,save_contact,noisy_augmented
contect save hochhe na,save_contact,noisy_augmented
kotha bolbo messenger diye,call_messenger,banglish
whatsapp e photo send korbo khemne,send_photo_whatsapp,noisy_augmented
waiphy kothay,turn_on_wifi,noisy_augmented
ছবি পাঠাও তো,send_photo_whatsapp,command
টাকা ভরবো মোবাইলে,recharge_mobile_bkash,standard
bikash e send hobe,send_money_bkash,noisy_augmented
lombor save niyom,save_contact,noisy_augmented
file dibo hoyatsap e,send_file_whatsapp,noisy_augmented
waiphy kemne connect hoy,turn_on_wifi,noisy_augmented
messenger e ring dibo,call_messenger,banglish
bkash richarge kiram,recharge_mobile_bkash,noisy_augmented
facebook call korbo,call_messenger,banglish
নম্বর কীভাবে রাখবো মনে থাকে না,save_contact,broken
bikash mobile recharge kemne,recharge_mobile_bkash,noisy_augmented
app dounload hocche na,download_app,noisy_augmented
bikash teyha patha,send_money_bkash,noisy_augmented
mobile e teha dibo bikash diye,recharge_mobile_bkash,noisy_augmented
ডেটা অন দেখাও,turn_on_mobile_data,command
kagoz dibo hoyatsap,send_file_whatsapp,noisy
google play theke app,download_app,banglish
internet on koro,turn_on_mobile_data,banglish
mobile data on korbo kiram,turn_on_mobile_data,noisy_augmented
wifi kemne on kori,turn_on_wifi,noisy
play store e jai ki kore,download_app,banglish
sobi fatabo hoyatsap e,send_photo_whatsapp,noisy_augmented
top up bikash e,recharge_mobile_bkash,noisy_augmented
bkash taka send kiram kori,send_money_bkash,noisy
ডেটা অফ হয়ে গেছে,turn_on_mobile_data,standard
bicas e teha kemne pathai,send_money_bkash,noisy_augmented
pdf pathabo whatsapp e,send_file_whatsapp,banglish
takha voro mobile e,recharge_mobile_bkash,noisy_augmented
hoyatsap e file fatao,send_file_whatsapp,noisy
contect khuja,find_contact,noisy_augmented
teha fatabo kivabe bikash,send_money_bkash,noisy_augmented
lombor ta kothay,find_contact,noisy
bikash payment korbo,send_money_bkash,noisy_augmented
cend file korte hobe,send_file_whatsapp,noisy_augmented
play store kemne jai,download_app,noisy_augmented
play store e jai ki kore,download_app,banglish
নেট নাই,turn_on_mobile_data,broken
takha cend korbo kemon kore,send_money_bkash,noisy_augmented
app download store,download_app,broken
mobile top up bkash kivabe,recharge_mobile_bkash,banglish
messanger e call kiram dibo,call_messenger,noisy_augmented
play store theke namao,download_app,banglish
phone book khujbo ki kore,find_contact,banglish
contect banate chai,save_contact,noisy_augmented
messenjar e ring dibo,call_messenger,noisy_augmented
teha fatao bkash,send_money_bkash,noisy_augmented
connect wifi korbo,turn_on_wifi,banglish
bikash mobile top up,recharge_mobile_bkash,noisy_augmented
নতুন কিছু নামাবো,download_app,mixed
add lombor phone e,save_contact,noisy_augmented
chobi fatamu kivabe,send_photo_whatsapp,noisy
wifi turn on kemne,turn_on_wifi,noisy
app instol korte chai,download_app,noisy_augmented
lambar phone e rakhte hobe,save_contact,noisy
app khemne namai,download_app,noisy_augmented
mobile e takha boro bkash,recharge_mobile_bkash,noisy_augmented
app instol hocche na keno,download_app,noisy_augmented
wayfi on kora dekhao,turn_on_wifi,noisy_augmented
contact list e nai,find_contact,banglish
অ্যাপ কোথায় পাবো,download_app,question
whatsapp e foto pathabo,send_photo_whatsapp,noisy_augmented
waiphy kiram on kori,turn_on_wifi,noisy_augmented
bkash transfer kemne hoy,send_money_bkash,noisy
net chole gese,turn_on_mobile_data,banglish
file cend hochhe na,send_file_whatsapp,noisy_augmented
bicas e send hobe,send_money_bkash,noisy_augmented
বিকাশ দিয়ে মোবাইল রিচার্জ করবো,recharge_mobile_bkash,standard
document fadamu whatsapp te,send_file_whatsapp,noisy
taka voro mobile e,recharge_mobile_bkash,banglish
ছবি কীভাবে যাবে,send_photo_whatsapp,question
whatsapp file,send_file_whatsapp,broken
contect save korar niyom dekhao,save_contact,noisy_augmented
contect search kemne,find_contact,noisy_augmented
wifi on kivabe hobe,turn_on_wifi,banglish
messenger e call korbo,call_messenger,banglish
takha fatabo bikash e,send_money_bkash,noisy_augmented
wayfi on nai keno,turn_on_wifi,noisy_augmented
fodu pathaite pari na,send_photo_whatsapp,noisy_augmented
data kemne on kori,turn_on_mobile_data,noisy
contact e noya number,save_contact,noisy
